n	k
22	3
5	2
24	2
18	2
4	0
1	1
7	2
12	5
26	3
8	2
5	2
20	2
2	0
13	1
10	2
10	2
21	2
20	2
10	2
3	1
18	2
3	2
27	2
4	0
13	0
5	1
35	1
70	2
11	0
7	1
24	0
34	0
7	0
15	0
10	0
1	0
40	3
50	2
5	0
