n	k
12	6
11	7
16	8
10	7
13	8
11	8
5	5
4	3
1	1
14	8
10	8
8	6
9	8
8	6
4	3
2	1
9	7
11	7
9	7
7	7
8	7
4	3
12	8
9	8
10	6
15	8
10	7
15	7
11	7
9	7
10	7
9	7
9	8
