n	k
112	8
61	1
76	4
20	1
25	0
32	1
26	2
12	0
41	0
28	1
6	0
14	0
4	1
10	0
22	0
21	0
3	0
8	0
11	1
37	2
10	1
17	2
17	1
21	0
